correct,incorrect
contented,contenpted
contented,contende
contented,contended
contented,contentid
beginning,begining
problem,problam
problem,proble
problem,promblem
problem,proplen
driven,dirven
ecstasy,exstacy
ecstasy,ecstacy
juice,guic
juice,juce
juice,jucie
juice,juise
juice,juse
locally,localy
compare,compair
pronunciation,pronounciation
transportability,transportibility
minuscule,miniscule
independent,independant
independent,independant
arranged,aranged
arranged,arrainged
poetry,poartry
poetry,poertry
poetry,poetre
poetry,poety
poetry,powetry
level,leval
basically,basicaly
triangular,triangulaur
unexpected,unexpcted
unexpected,unexpeted
unexpected,unexspected
standardizing,stanerdizing
variable,varable
further,futher
monitoring,monitering
biscuits,biscits
biscuits,biscutes
biscuits,biscuts
biscuits,bisquits
biscuits,buiscits
biscuits,buiscuts
available,avaible
separate,seperate
necessary,neccesary
necessary,necesary
necessary,neccesary
necessary,necassary
necessary,necassery
necessary,neccasary
definition,defenition
receipt,receit
receipt,receite
receipt,reciet
receipt,recipt
remind,remine
remind,remined
initials,inetials
initials,inistals
initials,initails
initials,initals
initials,intials
magnificent,magnificnet
magnificent,magificent
magnificent,magnifcent
magnificent,magnifecent
magnificent,magnifiscant
magnificent,magnifisent
magnificent,magnificant
aunt,annt
aunt,anut
aunt,arnt
initial,intial
there,ther
experiences,experances
built,biult
totally,totaly
understand,undersand
understand,undistand
southern,southen
definitely,definately
definitely,difinately
visited,fisited
visited,viseted
visited,vistid
visited,vistied
voluntary,volantry
meant,ment
receive,recieve
sources,sorces
whether,wether
useful,usefull
literature,litriture
valuable,valubale
valuable,valuble
desiccate,desicate
desiccate,dessicate
desiccate,dessiccate
clerical,clearical
splendid,spledid
splendid,splended
splendid,splened
splendid,splended
between,beetween
completely,completly
account,acount
cemetery,cemetary
cemetery,semetary
special,speaical
special,specail
special,specal
special,speical
latest,lates
latest,latets
latest,latiest
latest,latist
perhaps,perhapse
remember,rember
remember,remeber
remember,rememmer
remember,rermember
chapter,chaper
chapter,chaphter
chapter,chaptur
cake,cak
various,vairious
february,febuary
pretend,pertend
pretend,protend
pretend,prtend
pretend,pritend
choosing,chosing
wrote,rote
wrote,wote
particular,particulaur
awful,awfall
awful,afful
arrangement,arragment
challenges,chalenges
challenges,chalenges
laugh,lagh
laugh,lauf
laugh,laught
laugh,lugh
often,ofen
often,offen
often,offten
often,ofton
someone,somone
personnel,personnell
unique,uneque
diagrammatically,diagrammaticaally
description,discription
poems,poims
poems,pomes
purple,perple
purple,perpul
purple,poarple
decide,descide
articles,articals
position,possition
extended,extented
hierarchal,hierachial
really,realy
really,relley
really,relly
voting,voteing
committee,comittee
wanted,wantid
wanted,wonted
